MYbSp,Time,CFU,logCFU
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,3,NA,NA
MYb27,12,220,2.342422681
MYb27,12,520,2.716003344
MYb27,12,200,2.301029996
MYb27,12,0,0
MYb27,12,820,2.913813852
MYb27,12,4800,3.681241237
MYb27,12,540,2.73239376
MYb27,12,280,2.447158031
MYb27,12,100,2
MYb27,12,340,2.531478917
MYb27,12,20,1.301029996
MYb27,12,40,1.602059991
MYb27,12,380,2.579783597
MYb27,12,1040,3.017033339
MYb27,12,20,1.301029996
MYb27,12,160,2.204119983
MYb27,12,160,2.204119983
MYb27,12,7600,3.880813592
MYb27,12,180,2.255272505
MYb27,12,4000,3.602059991
MYb27,12,160,2.204119983
MYb27,12,220,2.342422681
MYb27,12,360,2.556302501
MYb27,12,540,2.73239376
MYb27,18,5600,3.748188027
MYb27,18,26000,4.414973348
MYb27,18,2000,3.301029996
MYb27,18,1200,3.079181246
MYb27,18,1080,3.033423755
MYb27,18,0,0
MYb27,18,7800,3.892094603
MYb27,18,680,2.832508913
MYb27,18,5200,3.716003344
MYb27,18,1080,3.033423755
MYb27,18,5600,3.748188027
MYb27,18,26000,4.414973348
MYb27,18,1000,3
MYb27,18,640,2.806179974
MYb27,18,7600,3.880813592
MYb27,18,0,0
MYb27,18,11200,4.049218023
MYb27,18,120,2.079181246
MYb27,18,38000,4.579783597
MYb27,18,28000,4.447158031
MYb27,18,3800,3.579783597
MYb27,18,50000,4.698970004
MYb27,18,9600,3.982271233
MYb27,18,600,2.77815125
MYb27,24,2200,3.342422681
MYb27,24,160,2.204119983
MYb27,24,120,2.079181246
MYb27,24,1600,3.204119983
MYb27,24,2200,3.342422681
MYb27,24,380,2.579783597
MYb27,24,480,2.681241237
MYb27,24,36000,4.556302501
MYb27,24,8200,3.913813852
MYb27,24,10800,4.033423755
MYb27,24,720,2.857332496
MYb27,24,7400,3.86923172
MYb27,24,72000,4.857332496
MYb27,24,2800,3.447158031
MYb27,24,7200,3.857332496
MYb27,24,620,2.792391689
MYb27,24,6400,3.806179974
MYb27,24,160,2.204119983
MYb27,24,5600,3.748188027
MYb27,24,1240,3.093421685
MYb27,24,2800,3.447158031
MYb27,24,11200,4.049218023
MYb27,24,4600,3.662757832
MYb27,24,4200,3.62324929
MYb27,36,70000,4.84509804
MYb27,36,6800,3.832508913
MYb27,36,40000,4.602059991
MYb27,36,108000,5.033423755
MYb27,36,8000,3.903089987
MYb27,36,1600,3.204119983
MYb27,36,6400,3.806179974
MYb27,36,420,2.62324929
MYb27,36,10000,4
MYb27,36,12800,4.10720997
MYb27,36,2800,3.447158031
MYb27,36,9600,3.982271233
MYb27,36,44000,4.643452676
MYb27,36,1600,3.204119983
MYb27,36,3000,3.477121255
MYb27,36,4800,3.681241237
MYb27,36,20000,4.301029996
MYb27,36,26000,4.414973348
MYb27,36,8400,3.924279286
MYb27,36,6600,3.819543936
MYb27,36,38000,4.579783597
MYb27,36,8400,3.924279286
MYb27,36,56000,4.748188027
MYb27,36,500,2.698970004
MYb27,42,36000,4.556302501
MYb27,42,6800,3.832508913
MYb27,42,9800,3.991226076
MYb27,42,60000,4.77815125
MYb27,42,3000,3.477121255
MYb27,42,38000,4.579783597
MYb27,42,10000,4
MYb27,42,144000,5.158362492
MYb27,42,92000,4.963787827
MYb27,42,164000,5.214843848
MYb27,42,14000,4.146128036
MYb27,42,112000,5.049218023
MYb27,42,28000,4.447158031
MYb27,42,16000,4.204119983
MYb27,42,10600,4.025305865
MYb27,42,94000,4.973127854
MYb27,42,11200,4.049218023
MYb27,42,11800,4.071882007
MYb27,42,28000,4.447158031
MYb27,42,232000,5.365487985
MYb27,42,114000,5.056904851
MYb27,42,44000,4.643452676
MYb27,42,74000,4.86923172
MYb27,42,90000,4.954242509
MYb27,48,144000,5.158362492
MYb27,48,8600,3.934498451
MYb27,48,16000,4.204119983
MYb27,48,8000,3.903089987
MYb27,48,8200,3.913813852
MYb27,48,14600,4.164352856
MYb27,48,11800,4.071882007
MYb27,48,8400,3.924279286
MYb27,48,144000,5.158362492
MYb27,48,28000,4.447158031
MYb27,48,24000,4.380211242
MYb27,48,96000,4.982271233
MYb27,48,8600,3.934498451
MYb27,48,134000,5.127104798
MYb27,48,114000,5.056904851
MYb27,48,3600,3.556302501
MYb27,48,10400,4.017033339
MYb27,48,10600,4.025305865
MYb27,48,14000,4.146128036
MYb27,48,4000,3.602059991
MYb27,48,14600,4.164352856
MYb27,48,40000,4.602059991
MYb27,48,8200,3.913813852
MYb27,48,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,3,NA,NA
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,120,2.079181246
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,160,2.204119983
MYb45,18,1800,3.255272505
MYb45,18,20,1.301029996
MYb45,18,0,0
MYb45,18,1800,3.255272505
MYb45,18,0,0
MYb45,18,980,2.991226076
MYb45,18,200,2.301029996
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,900,2.954242509
MYb45,18,0,0
MYb45,18,3600,3.556302501
MYb45,18,0,0
MYb45,18,180,2.255272505
MYb45,18,140,2.146128036
MYb45,18,380,2.579783597
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,540,2.73239376
MYb45,18,0,0
MYb45,18,3000,3.477121255
MYb45,24,12000,4.079181246
MYb45,24,6400,3.806179974
MYb45,24,0,0
MYb45,24,6200,3.792391689
MYb45,24,480,2.681241237
MYb45,24,0,0
MYb45,24,0,0
MYb45,24,4800,3.681241237
MYb45,24,5200,3.716003344
MYb45,24,160,2.204119983
MYb45,24,8400,3.924279286
MYb45,24,8200,3.913813852
MYb45,24,7400,3.86923172
MYb45,24,5600,3.748188027
MYb45,24,34000,4.531478917
MYb45,24,4400,3.643452676
MYb45,24,20,1.301029996
MYb45,24,7800,3.892094603
MYb45,24,8800,3.944482672
MYb45,24,700,2.84509804
MYb45,24,3600,3.556302501
MYb45,24,60,1.77815125
MYb45,24,34000,4.531478917
MYb45,24,100,2
MYb45,36,0,0
MYb45,36,40,1.602059991
MYb45,36,1580,3.198657087
MYb45,36,0,0
MYb45,36,160000,5.204119983
MYb45,36,164000,5.214843848
MYb45,36,16800,4.225309282
MYb45,36,158000,5.198657087
MYb45,36,40,1.602059991
MYb45,36,68000,4.832508913
MYb45,36,0,0
MYb45,36,80,1.903089987
MYb45,36,9800,3.991226076
MYb45,36,7400,3.86923172
MYb45,36,20,1.301029996
MYb45,36,840,2.924279286
MYb45,36,0,0
MYb45,36,15400,4.187520721
MYb45,36,380,2.579783597
MYb45,36,36000,4.556302501
MYb45,36,14400,4.158362492
MYb45,36,96000,4.982271233
MYb45,36,920,2.963787827
MYb45,36,40,1.602059991
MYb45,42,16000,4.204119983
MYb45,42,120,2.079181246
MYb45,42,4400,3.643452676
MYb45,42,82000,4.913813852
MYb45,42,40,1.602059991
MYb45,42,2400,3.380211242
MYb45,42,8400,3.924279286
MYb45,42,0,0
MYb45,42,220,2.342422681
MYb45,42,64000,4.806179974
MYb45,42,80,1.903089987
MYb45,42,2600,3.414973348
MYb45,42,15000,4.176091259
MYb45,42,132000,5.120573931
MYb45,42,24000,4.380211242
MYb45,42,200,2.301029996
MYb45,42,26000,4.414973348
MYb45,42,940,2.973127854
MYb45,42,216000,5.334453751
MYb45,42,72000,4.857332496
MYb45,42,0,0
MYb45,42,100000,5
MYb45,42,30000,4.477121255
MYb45,42,4000,3.602059991
MYb45,48,60,1.77815125
MYb45,48,146000,5.164352856
MYb45,48,7400,3.86923172
MYb45,48,8000,3.903089987
MYb45,48,94000,4.973127854
MYb45,48,580,2.763427994
MYb45,48,30000,4.477121255
MYb45,48,0,0
MYb45,48,40000,4.602059991
MYb45,48,2800,3.447158031
MYb45,48,0,0
MYb45,48,74000,4.86923172
MYb45,48,1260,3.100370545
MYb45,48,164000,5.214843848
MYb45,48,34000,4.531478917
MYb45,48,420,2.62324929
MYb45,48,72000,4.857332496
MYb45,48,26000,4.414973348
MYb45,48,0,0
MYb45,48,0,0
MYb45,48,60,1.77815125
MYb45,48,174000,5.240549248
MYb45,48,NA,NA
MYb45,48,NA,NA
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,88,1.944482672
MYb53,3,442,2.645422269
MYb53,3,0,0
MYb53,3,4,0.602059991
MYb53,3,52,1.716003344
MYb53,3,0,0
MYb53,3,42,1.62324929
MYb53,3,4,0.602059991
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,18,1.255272505
MYb53,3,0,0
MYb53,3,2,0.301029996
MYb53,3,16,1.204119983
MYb53,3,0,0
MYb53,3,86,1.934498451
MYb53,3,32,1.505149978
MYb53,12,580,2.763427994
MYb53,12,120,2.079181246
MYb53,12,300,2.477121255
MYb53,12,80,1.903089987
MYb53,12,0,0
MYb53,12,800,2.903089987
MYb53,12,40,1.602059991
MYb53,12,2000,3.301029996
MYb53,12,140,2.146128036
MYb53,12,260,2.414973348
MYb53,12,40,1.602059991
MYb53,12,200,2.301029996
MYb53,12,1600,3.204119983
MYb53,12,4000,3.602059991
MYb53,12,20,1.301029996
MYb53,12,280,2.447158031
MYb53,12,280,2.447158031
MYb53,12,60,1.77815125
MYb53,12,0,0
MYb53,12,340,2.531478917
MYb53,12,0,0
MYb53,12,660,2.819543936
MYb53,12,200,2.301029996
MYb53,12,7600,3.880813592
MYb53,18,580,2.763427994
MYb53,18,1020,3.008600172
MYb53,18,400,2.602059991
MYb53,18,240,2.380211242
MYb53,18,300,2.477121255
MYb53,18,600,2.77815125
MYb53,18,160,2.204119983
MYb53,18,1800,3.255272505
MYb53,18,440,2.643452676
MYb53,18,3000,3.477121255
MYb53,18,4200,3.62324929
MYb53,18,880,2.944482672
MYb53,18,480,2.681241237
MYb53,18,22000,4.342422681
MYb53,18,340,2.531478917
MYb53,18,4400,3.643452676
MYb53,18,3600,3.556302501
MYb53,18,840,2.924279286
MYb53,18,780,2.892094603
MYb53,18,1080,3.033423755
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,24,2800,3.447158031
MYb53,24,580,2.763427994
MYb53,24,820,2.913813852
MYb53,24,2400,3.380211242
MYb53,24,800,2.903089987
MYb53,24,600,2.77815125
MYb53,24,2400,3.380211242
MYb53,24,160,2.204119983
MYb53,24,140,2.146128036
MYb53,24,4000,3.602059991
MYb53,24,580,2.763427994
MYb53,24,520,2.716003344
MYb53,24,80,1.903089987
MYb53,24,760,2.880813592
MYb53,24,0,0
MYb53,24,260,2.414973348
MYb53,24,820,2.913813852
MYb53,24,260,2.414973348
MYb53,24,440,2.643452676
MYb53,24,380,2.579783597
MYb53,24,480,2.681241237
MYb53,24,340,2.531478917
MYb53,24,320,2.505149978
MYb53,24,440,2.643452676
MYb53,36,80,1.903089987
MYb53,36,20,1.301029996
MYb53,36,3600,3.556302501
MYb53,36,3400,3.531478917
MYb53,36,1800,3.255272505
MYb53,36,8600,3.934498451
MYb53,36,2400,3.380211242
MYb53,36,500,2.698970004
MYb53,36,8400,3.924279286
